Station:CCNY -,,
Date,Time,CO
,,ppb
1/1/16,12:00 AM,0.4
1/2/16,12:00 AM,0.52
1/3/16,12:00 AM,0.51
1/4/16,12:00 AM,0.56
1/5/16,12:00 AM,0.85
1/6/16,12:00 AM,1.03
1/7/16,12:00 AM,0.82
1/8/16,12:00 AM,0.34
1/9/16,12:00 AM,0.25
1/10/16,12:00 AM,0.07
1/11/16,12:00 AM,0.17
1/12/16,12:00 AM,0.42
1/13/16,12:00 AM,0.36
1/14/16,12:00 AM,0.31
1/15/16,12:00 AM,0.47
1/16/16,12:00 AM,0.06
1/17/16,12:00 AM,-0.01
1/18/16,12:00 AM,-0.06
1/19/16,12:00 AM,-0.06
1/20/16,12:00 AM,0.01
1/21/16,12:00 AM,0
1/22/16,12:00 AM,0.06
1/23/16,12:00 AM,0.15
1/24/16,12:00 AM,0.14
1/25/16,12:00 AM,0.38
1/26/16,12:00 AM,0.42
1/27/16,12:00 AM,0.25
1/28/16,12:00 AM,
1/29/16,12:00 AM,
1/30/16,12:00 AM,
1/31/16,12:00 AM,
2/1/16,12:00 AM,
2/2/16,12:00 AM,
2/3/16,12:00 AM,
2/4/16,12:00 AM,
2/5/16,12:00 AM,
2/6/16,12:00 AM,
2/7/16,12:00 AM,
2/8/16,12:00 AM,
2/9/16,12:00 AM,0
2/10/16,12:00 AM,0.11
2/11/16,12:00 AM,0.19
2/12/16,12:00 AM,0.22
2/13/16,12:00 AM,0.2
2/14/16,12:00 AM,0.21
2/15/16,12:00 AM,0.44
2/16/16,12:00 AM,0.35
2/17/16,12:00 AM,0.25
2/18/16,12:00 AM,0.23
2/19/16,12:00 AM,0.3
2/20/16,12:00 AM,0.26
2/21/16,12:00 AM,0.3
2/22/16,12:00 AM,0.3
2/23/16,12:00 AM,0.25
2/24/16,12:00 AM,0.29
2/25/16,12:00 AM,0.25
2/26/16,12:00 AM,0.16
2/27/16,12:00 AM,0.21
2/28/16,12:00 AM,0.25
2/29/16,12:00 AM,0.23
3/1/16,12:00 AM,0.24
3/2/16,12:00 AM,0.19
3/3/16,12:00 AM,0.19
3/4/16,12:00 AM,0.29
3/5/16,12:00 AM,0.24
3/6/16,12:00 AM,0.27
3/7/16,12:00 AM,0.31
3/8/16,12:00 AM,0.45
3/9/16,12:00 AM,0.68
3/10/16,12:00 AM,0.24
3/11/16,12:00 AM,0.18
3/12/16,12:00 AM,0.29
3/13/16,12:00 AM,0.27
3/14/16,12:00 AM,0.2
3/15/16,12:00 AM,0.31
3/16/16,12:00 AM,0.55
3/17/16,12:00 AM,0.28
3/18/16,12:00 AM,0.2
