Station:CCNY -,,,,
Date,Time,O3,PM25C,CO
,,ppm,ug/m3LC,ppb
1/1/17,12:00 AM,0.018,12.6,0.29
1/2/17,12:00 AM,0.011,11.5,0.34
1/3/17,12:00 AM,0.019,4.9,0.26
1/4/17,12:00 AM,0.014,8.5,0.24
1/5/17,12:00 AM,0.018,9.3,0.19
1/6/17,12:00 AM,0.018,10.9,0.35
1/7/17,12:00 AM,0.021,11.2,0.33
1/8/17,12:00 AM,0.025,10.2,0.2
1/9/17,12:00 AM,0.014,9.7,0.25
1/10/17,12:00 AM,0.007,12.1,0.42
1/11/17,12:00 AM,0.011,12.5,0.34
1/12/17,12:00 AM,0.016,11.5,0.23
1/13/17,12:00 AM,0.024,9.9,0.21
1/14/17,12:00 AM,0.015,8.7,0.28
1/15/17,12:00 AM,0.018,11.1,0.29
1/16/17,12:00 AM,0.01,13.9,0.46
1/17/17,12:00 AM,0.002,17.1,0.5
1/18/17,12:00 AM,0.013,8,0.39
1/19/17,12:00 AM,0.01,7.3,0.35
1/20/17,12:00 AM,0.007,9.1,0.37
1/21/17,12:00 AM,0.002,13.6,0.39
1/22/17,12:00 AM,0.004,15.4,0.58
1/23/17,12:00 AM,0.024,5.1,0.19
1/24/17,12:00 AM,0.024,5.3,0.26
1/25/17,12:00 AM,0.018,7.3,0.25
1/26/17,12:00 AM,0.011,9.3,0.29
1/27/17,12:00 AM,0.017,5.5,0.15
1/28/17,12:00 AM,,6.1,0.18
1/29/17,12:00 AM,,7.9,0.26
1/30/17,12:00 AM,,7.9,0.32
1/31/17,12:00 AM,0.012,8.6,0.33
2/1/17,12:00 AM,0.014,9,0.29
2/2/17,12:00 AM,0.019,7.7,0.26
2/3/17,12:00 AM,0.026,7.5,0.22
2/4/17,12:00 AM,0.026,7.6,0.19
2/5/17,12:00 AM,0.015,9.7,0.26
2/6/17,12:00 AM,0.018,12,0.31
2/7/17,12:00 AM,,,
2/8/17,12:00 AM,,,
2/9/17,12:00 AM,0.027,5.7,0.18
2/10/17,12:00 AM,0.022,6.6,0.22
2/11/17,12:00 AM,0.005,14.7,0.58
2/12/17,12:00 AM,0.01,8.3,0.38
2/13/17,12:00 AM,0.026,6.7,0.22
2/14/17,12:00 AM,0.019,8,0.27
2/15/17,12:00 AM,0.014,11.1,0.4
2/16/17,12:00 AM,0.026,7.2,0.19
2/17/17,12:00 AM,0.027,8.7,0.23
2/18/17,12:00 AM,0.017,11.5,0.37
2/19/17,12:00 AM,0.032,11.4,0.26
2/20/17,12:00 AM,0.031,6.7,0.18
2/21/17,12:00 AM,0.027,7.7,0.26
2/22/17,12:00 AM,0.009,13.6,0.43
2/23/17,12:00 AM,0.003,19.8,0.78
2/24/17,12:00 AM,0.017,9.3,0.46
2/25/17,12:00 AM,0.022,4.3,0.23
2/26/17,12:00 AM,0.029,5.5,0.19
2/27/17,12:00 AM,0.014,11.6,0.27
2/28/17,12:00 AM,0.012,10.6,0.41
3/1/17,12:00 AM,0.015,9.5,0.29
3/2/17,12:00 AM,0.036,5.2,0.17
3/3/17,12:00 AM,0.033,6,0.17
3/4/17,12:00 AM,0.032,5.3,0.18
3/5/17,12:00 AM,0.029,4.7,0.21
3/6/17,12:00 AM,0.012,9.5,0.35
3/7/17,12:00 AM,0.012,12.6,0.44
3/8/17,12:00 AM,0.029,5.8,0.26
3/9/17,12:00 AM,0.037,4.6,0.13
3/10/17,12:00 AM,0.031,5,0.2
3/11/17,12:00 AM,0.034,4.8,0.19
3/12/17,12:00 AM,0.032,5.9,0.2
3/13/17,12:00 AM,0.023,6.7,0.26
3/14/17,12:00 AM,0.028,,0.21
3/15/17,12:00 AM,0.032,5.5,0.16
3/16/17,12:00 AM,0.036,6.7,0.18
3/17/17,12:00 AM,0.029,7.9,0.23
3/18/17,12:00 AM,0.025,9.4,0.34
3/19/17,12:00 AM,0.036,5.5,0.23
3/20/17,12:00 AM,0.03,6.4,0.26
3/21/17,12:00 AM,0.034,8.9,0.26
3/22/17,12:00 AM,0.035,6.4,0.19
3/23/17,12:00 AM,0.028,5.8,0.23
3/24/17,12:00 AM,0.021,9.4,0.27
3/25/17,12:00 AM,0.015,15.2,0.37
3/26/17,12:00 AM,0.027,6.4,0.22
3/27/17,12:00 AM,0.011,9.3,0.52
3/28/17,12:00 AM,0.009,4.9,0.33
3/29/17,12:00 AM,0.024,2.9,0.21
3/30/17,12:00 AM,0.022,4.3,0.23
3/31/17,12:00 AM,0.029,2.8,0.25
4/1/17,12:00 AM,0.032,3.2,0.18
4/2/17,12:00 AM,0.032,4.8,0.19
4/3/17,12:00 AM,0.026,7.7,0.29
4/4/17,12:00 AM,0.026,4.8,0.25
4/5/17,12:00 AM,0.017,7.7,0.34
4/6/17,12:00 AM,0.024,,0.26
4/7/17,12:00 AM,,,
4/8/17,12:00 AM,,,
4/9/17,12:00 AM,,,
4/10/17,12:00 AM,,,
4/11/17,12:00 AM,0.025,16,0.36
4/12/17,12:00 AM,0.02,13.2,0.45
4/13/17,12:00 AM,0.032,2.7,0.19
4/14/17,12:00 AM,0.033,3.4,0.2
4/15/17,12:00 AM,0.032,5.5,0.21
4/16/17,12:00 AM,0.039,8.7,0.16
4/17/17,12:00 AM,0.035,3.6,0.16
4/18/17,12:00 AM,0.035,3.9,0.14
4/19/17,12:00 AM,0.03,4.3,0.18
4/20/17,12:00 AM,0.018,7.7,0.31
4/21/17,12:00 AM,0.032,3.1,0.18
4/22/17,12:00 AM,0.021,4.1,0.2
4/23/17,12:00 AM,0.023,3,0.19
4/24/17,12:00 AM,0.01,6.7,0.4
4/25/17,12:00 AM,0.032,2.3,0.15
4/26/17,12:00 AM,0.013,5.7,0.29
