Station:CCNY -,,
Date,Time,CO
,,ppb
1/1/18,12:00 AM,0.21
1/2/18,12:00 AM,0.22
1/3/18,12:00 AM,
1/4/18,12:00 AM,0.24
1/5/18,12:00 AM,0.18
1/6/18,12:00 AM,0.16
1/7/18,12:00 AM,0.22
1/8/18,12:00 AM,0.31
1/9/18,12:00 AM,0.29
1/10/18,12:00 AM,0.41
1/11/18,12:00 AM,0.81
1/12/18,12:00 AM,0.46
1/13/18,12:00 AM,0.15
1/14/18,12:00 AM,0.2
1/15/18,12:00 AM,0.33
1/16/18,12:00 AM,0.59
1/17/18,12:00 AM,0.39
1/18/18,12:00 AM,0.26
1/19/18,12:00 AM,0.37
1/20/18,12:00 AM,0.31
1/21/18,12:00 AM,0.4
1/22/18,12:00 AM,0.65
1/23/18,12:00 AM,0.38
1/24/18,12:00 AM,0.18
1/25/18,12:00 AM,0.2
1/26/18,12:00 AM,0.27
1/27/18,12:00 AM,0.26
1/28/18,12:00 AM,0.29
1/29/18,12:00 AM,0.28
1/30/18,12:00 AM,123.72
1/31/18,12:00 AM,247.26
2/1/18,12:00 AM,425.56
2/2/18,12:00 AM,223.08
2/3/18,12:00 AM,232.02
2/4/18,12:00 AM,455.85
2/5/18,12:00 AM,240.13
2/6/18,12:00 AM,397.15
2/7/18,12:00 AM,425.75
2/8/18,12:00 AM,238.02
2/9/18,12:00 AM,295.47
2/10/18,12:00 AM,732.61
2/11/18,12:00 AM,889.89
2/12/18,12:00 AM,254.16
2/13/18,12:00 AM,245.38
2/14/18,12:00 AM,335.53
2/15/18,12:00 AM,466.09
2/16/18,12:00 AM,361.91
2/17/18,12:00 AM,477.02
2/18/18,12:00 AM,482.77
2/19/18,12:00 AM,603.51
2/20/18,12:00 AM,678.43
2/21/18,12:00 AM,451.11
2/22/18,12:00 AM,442.03
2/23/18,12:00 AM,442.15
2/24/18,12:00 AM,299.27
2/25/18,12:00 AM,337.86
2/26/18,12:00 AM,280.48
2/27/18,12:00 AM,295.68
2/28/18,12:00 AM,285.01
3/1/18,12:00 AM,378.19
3/2/18,12:00 AM,197.82
3/3/18,12:00 AM,179.04
3/4/18,12:00 AM,173.15
3/5/18,12:00 AM,195.01
3/6/18,12:00 AM,227.52
3/7/18,12:00 AM,210.4
3/8/18,12:00 AM,226.84
3/9/18,12:00 AM,211.99
3/10/18,12:00 AM,183.02
3/11/18,12:00 AM,204.58
3/12/18,12:00 AM,265.74
3/13/18,12:00 AM,190.39
3/14/18,12:00 AM,167.61
3/15/18,12:00 AM,186.04
3/16/18,12:00 AM,197.37
3/17/18,12:00 AM,192.72
3/18/18,12:00 AM,198.61
3/19/18,12:00 AM,270.14
3/20/18,12:00 AM,287.89
3/21/18,12:00 AM,214.73
3/22/18,12:00 AM,201.7
3/23/18,12:00 AM,193.32
3/24/18,12:00 AM,181.12
3/25/18,12:00 AM,199.11
3/26/18,12:00 AM,269.98
3/27/18,12:00 AM,334.44
3/28/18,12:00 AM,313.89
3/29/18,12:00 AM,469.46
3/30/18,12:00 AM,449.74
3/31/18,12:00 AM,206.26
4/1/18,12:00 AM,197.33
4/2/18,12:00 AM,271.91
4/3/18,12:00 AM,347.69
4/4/18,12:00 AM,410.5
4/5/18,12:00 AM,171.05
4/6/18,12:00 AM,356.15
4/7/18,12:00 AM,206.7
4/8/18,12:00 AM,197.15
4/9/18,12:00 AM,215.55
4/10/18,12:00 AM,222.79
4/11/18,12:00 AM,346.94
4/12/18,12:00 AM,355.93
4/13/18,12:00 AM,286.59
4/14/18,12:00 AM,240.44
4/15/18,12:00 AM,166.45
4/16/18,12:00 AM,187.02
4/17/18,12:00 AM,181.11
